date,dewPoint,humidity,maxTemp,minTemp,precipType
2014-01-02,11.58,0.71,30.88,11.72,snow
2014-01-03,11.46,0.71,30.29,10.96,snow
2014-01-04,11.2,0.65,32.0,12.0,snow
2014-01-05,11.14,0.61,35.16,12.36,snow
2014-01-06,9.59,0.62,30.12,14.0,snow
2014-01-07,12.79,0.73,26.53,13.67,snow
2014-01-08,12.67,0.79,23.3,14.0,snow
2014-01-09,9.77,0.7,25.77,10.0,snow
2014-01-10,11.94,0.68,30.0,16.12,snow
2014-01-11,10.1,0.66,30.13,10.19,snow
2014-01-12,9.69,0.65,30.76,10.02,snow
2014-01-13,10.67,0.64,32.58,13.03,snow
2014-01-14,11.03,0.62,32.95,13.09,snow
2014-01-15,10.9,0.61,33.51,12.5,snow
2014-01-16,11.07,0.6,34.3,12.02,snow
2014-01-17,11.59,0.57,39.58,16.0,snow
2014-01-18,10.66,0.58,34.16,14.72,snow
2014-01-19,11.1,0.58,35.36,14.22,snow
2014-01-20,11.81,0.56,36.76,17.46,snow
2014-01-21,11.28,0.54,37.99,17.02,snow
2014-01-22,10.54,0.49,41.0,18.46,snow
2014-01-23,11.41,0.49,41.87,20.83,snow
2014-01-24,11.09,0.49,39.87,18.56,snow
2014-01-25,10.69,0.5,39.29,18.87,snow
2014-01-26,11.31,0.46,43.59,19.64,snow
2014-01-27,10.49,0.44,43.12,21.15,snow
2014-01-28,11.07,0.4,50.86,21.17,rain
2014-01-29,11.34,0.39,48.73,24.44,rain
2014-01-30,12.1,0.39,48.65,23.63,rain
2014-01-31,9.49,0.27,59.0,29.0,rain
2014-02-01,14.0,0.4,50.23,26.01,rain
2014-02-02,11.42,0.4,43.29,26.5,rain
2014-02-03,11.21,0.49,32.0,24.12,snow
2014-02-04,18.14,0.72,32.25,23.99,snow
2014-02-05,20.18,0.84,30.82,16.0,snow
2014-02-06,18.29,0.81,32.04,19.5,snow
2014-02-07,17.43,0.78,30.23,18.0,snow
2014-02-08,16.37,0.77,33.57,17.97,snow
