"permit_id"	"name"	"address"	"category"	"permit_url"	"map_url"	"phone_num"	"YelpID"	"lat"	"lon"
5330	"BEAU THAI"	"1700 NEW JERSEY AVE NW Washington, DC 20001"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=5330"	"http://maps.google.com/maps?q=1700 NEW JERSEY AVE NW Washington, DC 20001"	2025365636	"beau-thai-washington-2"	38.912746	-77.017856
147452	"BEAU THAI"	"3162 MOUNT PLEASANT ST NW Washington, DC 20010"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147452"	"http://maps.google.com/maps?q=3162 MOUNT PLEASANT ST NW Washington, DC 20010"	2024505346	"beau-thai-mount-pleasant-washington"	38.9302768	-77.0383091
187848	"BEEFSTEAK"	"1528 CONNECTICUT AVE NW WASHINGTON, DC 20036"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=187848"	"http://maps.google.com/maps?q=1528 CONNECTICUT AVE NW WASHINGTON, DC 20036"	2022961458	"mcm-parking-company-washington-2"	38.9107715	-77.0444354
173218	"BEEFSTEAK"	"800 22ND ST NW WASHINGTON, DC 20052"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=173218"	"http://maps.google.com/maps?q=800 22ND ST NW WASHINGTON, DC 20052"	2022961421	"beefsteak-washington-3"	38.9001398	-77.0494475
4380	"BELGA CAFE"	"514 8TH ST SE WASHINGTON, DC 20003"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4380"	"http://maps.google.com/maps?q=514 8TH ST SE WASHINGTON, DC 20003"	2025440100	"belga-cafe-washington"	38.8822114	-76.9945958
2876	"BEN & JERRY'S"	"3135 M ST NW Washington, DC 20007"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2876"	"http://maps.google.com/maps?q=3135 M ST NW Washington, DC 20007"	2029652222	"ben-and-jerrys-washington-8"	38.9053993	-77.0621321
1516	"BEN'S CHILI BOWL"	"1213 U ST NW Washington, DC 20009"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1516"	"http://maps.google.com/maps?q=1213 U ST NW Washington, DC 20009"	2026670909	"bens-chili-bowl-washington"	38.9172465	-77.0288008
187819	"BEN'S CHILI BOWL/BEN'S UPSTAIRS"	"1001 H ST NE WASHINGTON, DC 20002"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=187819"	"http://maps.google.com/maps?q=1001 H ST NE WASHINGTON, DC 20002"	2027332405	"ten-01-washington"	38.899971	-76.9924649
172486	"BERGAMI'S"	"2350 WASHINGTON PL NE WASHINGTON, DC 20018"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172486"	"http://maps.google.com/maps?q=2350 WASHINGTON PL NE WASHINGTON, DC 20018"	2022690300	"bergamis-washington"	38.9212242	-76.9947934
2380	"BERTUCCI 'S"	"2000 PENNSYLVANIA AVE NW WASHINGTON, DC 20012"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2380"	"http://maps.google.com/maps?q=2000 PENNSYLVANIA AVE NW WASHINGTON, DC 20012"		"italian-bertuccis-restaurant-washington"	38.9002964	-77.0457525
147582	"BET CAFETERIA"	"1235 W ST NE WASHINGTON, DC 20017"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147582"	"http://maps.google.com/maps?q=1235 W ST NE WASHINGTON, DC 20017"	2026082145	"no_yelp"	38.9187501	-76.9888347
