inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon
823149,173017,2016-03-16,10:30:00,Routine,6.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,38.9168001,-77.0411948
810468,173153,2015-05-14,14:20:00,Routine,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,38.8999938,-76.9957866
822180,173153,2016-02-10,14:00:00,Routine,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.8999938,-76.9957866
810470,172510,2015-05-15,12:00:00,Routine,5.0,4.0,3.0,0.0,0.0,0.0,2.0,4.0,38.9202658,-77.0415796
810502,172672,2015-05-13,12:41:00,Routine,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,38.904951,-77.0440066
810533,173135,2015-05-19,10:36:00,Routine,6.0,2.0,2.0,0.0,1.0,0.0,4.0,1.0,38.9001095,-77.0291441
813796,173135,2015-10-02,14:15:00,Routine,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,38.9001095,-77.0291441
810576,173085,2015-05-20,11:45:00,Routine,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,38.9052427,-77.0676683
810577,172906,2015-05-20,11:21:00,Routine,8.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,38.9000773,-77.0223895
810592,172787,2015-05-20,12:45:00,Routine,9.0,2.0,3.0,0.0,0.0,0.0,6.0,2.0,38.8942747,-77.0216079
810603,1404,2015-05-21,10:20:00,Routine,10.0,1.0,6.0,0.0,0.0,0.0,4.0,1.0,38.904518,-77.0256633
810616,173117,2015-05-21,10:16:00,Routine,5.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,38.8993306,-77.0265255
813121,173117,2015-09-01,10:20:00,Routine,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,38.8993306,-77.0265255
821659,173117,2016-01-15,10:30:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.8993306,-77.0265255
823165,173117,2016-03-16,12:01:00,Routine,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,38.8993306,-77.0265255
810643,187487,2015-01-14,11:20:00,Routine,7.0,4.0,2.0,0.0,0.0,0.0,5.0,4.0,38.8993306,-77.0265255
810650,187487,2015-05-21,11:32:00,Routine,3.0,4.0,1.0,0.0,0.0,0.0,2.0,4.0,38.8993306,-77.0265255
813073,187487,2015-09-01,10:20:00,Routine,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,38.8993306,-77.0265255
822462,187487,2016-02-16,11:00:00,Routine,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,38.8993306,-77.0265255
810683,5028,2015-05-26,13:30:00,Routine,3.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,38.954492,-77.0830116
810975,172938,2015-06-04,12:50:00,Routine,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,38.9152948,-77.0126994
810999,5195,2015-06-04,18:39:00,Routine,12.0,6.0,5.0,0.0,0.0,0.0,7.0,6.0,38.9102745,-77.0322874
811003,1500,2015-06-04,14:30:00,Routine,6.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,38.9054045,-77.0568764
811045,172833,2015-06-09,13:43:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.950277,-77.0800631
822657,172833,2016-02-29,14:26:00,Routine,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,38.950277,-77.0800631
811072,147943,2015-06-08,17:10:00,Routine,5.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,38.9169435,-77.023099
811181,172325,2015-06-10,17:25:00,Routine,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,38.9154219,-77.0316396
811199,2636,2015-06-11,10:16:00,Routine,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,38.9034207,-77.0519656
814089,2636,2015-10-14,11:15:00,Routine,4.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,38.9034207,-77.0519656
824220,2636,2016-05-02,14:10:00,Routine,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.9034207,-77.0519656
811220,173110,2015-06-11,13:40:00,Routine,2.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,38.9213451,-77.0419111
811240,2710,2015-06-12,09:05:00,Routine,4.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,38.9049185,-77.0542102
811242,2228,2015-06-12,11:15:00,Routine,7.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,38.915394,-77.067747
811279,3086,2015-06-12,09:45:00,Routine,8.0,3.0,7.0,0.0,0.0,0.0,1.0,3.0,38.9367214,-77.0330777
811331,5883,2015-06-15,13:45:00,Routine,8.0,4.0,5.0,0.0,2.0,0.0,3.0,2.0,38.898672,-77.019589
820414,5883,2015-11-17,10:30:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.898672,-77.019589
823719,5883,2016-03-16,11:00:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.898672,-77.019589
811358,2666,2015-06-16,16:20:00,Routine,7.0,5.0,3.0,0.0,1.0,0.0,4.0,4.0,38.9218053,-77.0427231
811361,7076,2015-06-16,17:46:00,Routine,11.0,3.0,3.0,0.0,0.0,0.0,8.0,3.0,38.9107642,-77.0315806
811392,172269,2015-06-17,14:12:00,Routine,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,38.9092188,-77.055492
811549,148021,2015-06-23,10:00:00,Routine,8.0,2.0,3.0,0.0,1.0,0.0,5.0,1.0,38.9086077,-76.9973795
823816,148021,2016-04-13,10:50:00,Routine,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,38.9086077,-76.9973795
811583,3491,2015-06-19,10:46:00,Routine,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,38.958738,-77.0843537
811631,5228,2015-06-24,17:15:00,Routine,5.0,4.0,3.0,1.0,0.0,0.0,2.0,4.0,38.9171904,-77.0267574
811633,172485,2015-06-24,19:10:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9172897,-77.0304234
811634,7135,2015-06-25,17:15:00,Routine,4.0,7.0,1.0,0.0,1.0,0.0,3.0,6.0,38.9171661,-77.0242823
811694,147607,2015-06-26,11:15:00,Routine,6.0,4.0,0.0,0.0,1.0,0.0,6.0,3.0,38.8842486,-77.0275695
811758,173188,2015-06-19,12:00:00,HACCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9081481,-77.0323549
820889,173188,2015-12-09,11:15:00,Routine,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,38.9081481,-77.0323549
811778,173130,2015-06-24,11:00:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.9318644,-76.9971168
812760,173130,2015-08-20,10:45:00,Routine,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,38.9318644,-76.9971168
824331,173130,2016-05-04,10:20:00,Routine,6.0,4.0,2.0,0.0,2.0,0.0,4.0,2.0,38.9318644,-76.9971168
811987,172477,2015-07-11,15:50:00,Routine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,38.905865,-76.980026
812181,4009,2015-07-20,15:07:00,HACCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9013368,-77.0507854
812293,172481,2015-07-27,11:00:00,Routine,7.0,4.0,6.0,0.0,2.0,0.0,1.0,2.0,38.9034703,-77.0349618
812316,172744,2015-07-28,12:15:00,Routine,5.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,38.9035,-77.053978
824181,172744,2016-04-29,14:15:00,Routine,7.0,3.0,1.0,0.0,0.0,0.0,6.0,3.0,38.9035,-77.053978
812731,946,2015-08-19,10:30:00,Routine,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,38.9332895,-76.9912411
812748,173205,2015-08-19,01:40:00,Routine,10.0,6.0,2.0,0.0,1.0,0.0,8.0,5.0,38.930785,-76.9906646
824684,173205,2016-05-16,17:45:00,Routine,7.0,2.0,5.0,0.0,0.0,0.0,2.0,2.0,38.930785,-76.9906646
812779,172467,2015-08-20,11:35:00,Routine,5.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,38.9294049,-76.9910241
821284,172467,2015-12-30,13:15:00,Routine,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,38.9294049,-76.9910241
812956,173142,2015-08-27,11:55:00,Routine,3.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,38.9110713,-77.0655063
