inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr
814181,7160,2015-10-16,11:00:00,Routine,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
814193,2810,2015-10-19,12:00:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
814194,148065,2015-10-19,11:45:00,Routine,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0
814210,5696,2015-10-19,12:15:00,Routine,4.0,3.0,2.0,0.0,1.0,0.0,2.0,2.0
814211,5936,2015-10-19,13:05:00,Routine,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
814228,2973,2015-10-20,09:10:00,Routine,5.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0
814260,1332,2015-10-20,10:17:00,Routine,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
814299,4101,2015-10-21,11:00:00,Routine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
814304,4104,2015-10-21,11:45:00,Routine,6.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0
814313,6994,2015-10-21,12:20:00,Routine,8.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0
814316,1957,2015-10-21,10:24:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
814317,2074,2015-10-21,11:25:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
814333,5669,2015-10-21,13:35:00,Routine,6.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0
814347,2867,2015-10-22,11:00:00,Routine,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0
814352,147593,2015-10-22,13:45:00,Routine,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
814376,6572,2015-10-22,13:10:00,Routine,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
819799,187547,2015-10-23,10:30:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
819804,3754,2015-10-23,13:00:00,Routine,3.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0
819806,1817,2015-10-23,10:20:00,Routine,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0
819812,1377,2015-10-23,13:00:00,Routine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
819834,147945,2015-10-26,11:42:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
819838,4064,2015-10-26,10:25:00,Routine,5.0,4.0,2.0,0.0,1.0,0.0,3.0,3.0
819875,147494,2015-10-27,15:45:00,Routine,5.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0
819878,3816,2015-10-26,11:10:00,Routine,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
819893,173103,2015-10-28,09:58:00,Routine,7.0,2.0,2.0,0.0,0.0,0.0,5.0,2.0
819905,4576,2015-10-28,14:10:00,Routine,8.0,4.0,2.0,0.0,0.0,0.0,6.0,4.0
