,crit_viol,yelp_rating,yelp_reviews,risk,insp_badge,crime_count,311_count,construction_count,avg_high_temp,time_diff,target
262,4,3.0,27,3,29,23.0,0.0,8.0,42.74,-4,0
243,1,3.0,27,3,29,23.0,0.0,5.0,46.9,-6,0
317,10,3.0,27,3,624,15.0,0.0,6.0,58.48,-42,1
316,5,3.0,27,3,89,11.0,0.0,9.0,94.55,-103,1
242,1,3.0,27,3,82,13.0,0.0,8.0,65.8,-73,0
315,1,3.0,27,3,422,9.0,0.0,8.0,63.76,-31,0
289,0,3.0,27,3,54,21.0,0.0,10.0,75.01,-183,0
241,2,3.0,27,3,624,22.0,0.0,10.0,74.06,-1,0
261,4,3.0,27,3,624,22.0,0.0,10.0,74.06,0,0
314,2,3.0,27,3,422,6.0,0.0,10.0,88.84,-5,0
119,0,3.5,41,2,422,24.0,0.0,14.0,64.47,-180,0
195,2,3.5,41,2,607,18.0,0.0,12.0,75.95,-171,0
586,4,3.5,41,3,87,25.0,0.0,4.0,68.87,-15,0
118,1,3.5,41,2,29,32.0,0.0,9.0,47.89,-154,0
194,3,3.5,41,2,29,28.0,0.0,11.0,51.68,-13,0
193,3,3.5,41,2,59,18.0,0.0,11.0,43.31,-334,0
117,1,3.5,41,2,107,16.0,0.0,17.0,78.2,-64,0
585,1,3.5,41,3,124,15.0,0.0,11.0,83.18,-9,0
96,1,3.5,41,3,603,25.0,0.0,13.0,77.23,-3,0
1105,5,2.5,36,3,19,19.0,0.0,3.0,27.17,-194,1
1104,4,2.5,36,3,107,6.0,0.0,5.0,48.06,-299,0
1103,4,2.5,36,3,87,8.0,0.0,0.0,81.94,-177,0
1102,2,2.5,36,3,26,11.0,0.0,3.0,35.49,-210,0
1101,3,2.5,36,3,124,19.0,0.0,3.0,64.2,-99,0
1100,3,2.5,36,3,612,16.0,0.0,2.0,91.89,-113,0
600,8,2.5,263,3,624,8.0,0.0,1.0,86.3,-423,1
599,9,2.5,263,3,107,16.0,0.0,10.0,33.95,-121,1
598,12,2.5,263,3,89,18.0,0.0,4.0,91.95,-191,1
597,2,2.5,263,3,59,15.0,0.0,2.0,59.12,-238,0
1083,5,2.5,73,2,422,6.0,0.0,12.0,52.15,-241,1
990,6,3.0,50,2,607,34.0,0.0,15.0,87.32,-385,1
989,5,3.0,50,2,29,31.0,0.0,21.0,56.4,-220,1
32,3,2.5,11,3,611,19.0,0.0,14.0,75.62,-262,0
31,3,2.5,11,3,54,16.0,0.0,7.0,74.09,-168,0
30,4,2.5,11,3,612,23.0,0.0,8.0,79.92,-311,0
29,12,2.5,11,3,603,24.0,0.0,2.0,31.78,-160,1
