,crit_viol,yelp_rating,yelp_reviews,risk,insp_badge,crime_count,311_count,construction_count,avg_high_temp,time_diff,target
140,4,3.5,19,2,29,3.0,0.0,2.0,38.69,-864,0
141,7,3.5,146,3,54,0.0,3.0,0.0,77.18,-864,1
142,6,3.5,329,3,26,20.0,0.0,12.0,55.11,-864,1
143,3,4.0,171,3,29,3.0,0.0,8.0,64.85,-864,0
144,7,4.0,498,3,26,0.0,0.0,1.0,77.93,-864,1
145,3,3.5,9,2,603,16.0,0.0,19.0,34.22,-864,0
146,1,4.0,30,2,107,25.0,0.0,8.0,55.28,-864,0
147,6,3.5,217,3,422,32.0,0.0,8.0,36.6,-864,1
148,13,2.5,69,3,19,4.0,0.0,8.0,68.19,-864,1
149,2,4.0,29,3,51,0.0,2.0,1.0,74.96,-864,0
150,5,4.0,273,2,607,10.0,0.0,6.0,77.63,-864,1
151,4,3.0,85,3,611,6.0,0.0,1.0,51.16,-864,0
152,1,3.5,494,2,422,16.0,0.0,17.0,39.91,-864,0
153,3,3.5,6,3,107,3.0,0.0,6.0,56.01,-864,0
154,3,4.0,31,3,51,7.0,4.0,0.0,79.37,-864,0
155,4,3.0,476,3,82,13.0,0.0,6.0,78.43,-864,0
156,3,3.5,593,3,82,16.0,0.0,5.0,61.44,-864,0
157,3,4.0,81,3,51,14.0,0.0,8.0,69.8,-864,0
158,2,3.5,435,3,422,27.0,1.0,7.0,66.89,-864,0
159,1,1.5,3,3,29,2.0,0.0,0.0,66.88,-864,0
160,2,3.5,70,3,607,4.0,0.0,7.0,27.74,-864,0
161,2,3.0,161,2,603,3.0,1.0,0.0,79.46,-864,0
162,1,3.5,41,3,88,11.0,0.0,3.0,86.69,-864,0
163,2,3.5,41,3,54,7.0,0.0,7.0,36.27,-111,0
164,8,4.0,257,3,603,22.0,0.0,8.0,31.73,-864,1
165,0,4.0,100,5,107,0.0,0.0,1.0,73.83,-864,0
166,0,4.0,100,5,624,6.0,0.0,6.0,45.71,-102,0
167,0,4.0,100,4,624,6.0,0.0,6.0,45.71,0,0
