,inspec_id,permit_id,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon,risk,insp_badge,yelp_rating,yelp_reviews,violation
1353,823347,147496,6.0,2.0,1.0,0.0,0.0,0.0,5.0,2.0,38.915994,-77.04689,2,624.0,3.0,41,1
1354,204573,147599,7.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,38.90295,-77.0457347,3,121.0,3.0,101,1
1355,610147,147599,10.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0,38.90295,-77.0457347,3,89.0,3.0,101,1
1356,812937,147599,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.90295,-77.0457347,3,82.0,3.0,101,0
1357,204585,1575,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.8964601,-77.0288852,3,54.0,3.0,16,0
1358,204585,1575,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.8964601,-77.0288852,3,54.0,3.0,16,0
1359,607179,1575,8.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,38.8964601,-77.0288852,3,624.0,3.0,16,1
1360,607179,1575,8.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,38.8964601,-77.0288852,3,624.0,3.0,16,1
1361,810550,1575,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,38.8964601,-77.0288852,3,87.0,3.0,16,0
1362,810550,1575,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,38.8964601,-77.0288852,3,87.0,3.0,16,0
1363,204639,147258,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,38.9075005,-77.0631991,2,82.0,3.5,137,0
1364,204639,147258,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,38.9075005,-77.0631991,2,82.0,3.5,137,0
1365,611714,147258,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,38.9075005,-77.0631991,2,64.0,3.5,137,0
1366,611714,147258,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,38.9075005,-77.0631991,2,64.0,3.5,137,0
1367,204661,4600,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,38.8751275,-77.0210493,3,422.0,3.5,279,1
1368,810215,4600,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,38.8751275,-77.0210493,3,611.0,3.5,279,0
1369,204823,147514,8.0,3.0,0.0,0.0,0.0,0.0,8.0,3.0,38.9094792,-77.0456101,2,121.0,3.0,108,1
1370,204823,147514,8.0,3.0,0.0,0.0,0.0,0.0,8.0,3.0,38.9094792,-77.0456101,2,121.0,3.0,108,1
1371,611865,147514,8.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,38.9094792,-77.0456101,2,82.0,3.0,108,1
1372,611865,147514,8.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,38.9094792,-77.0456101,2,82.0,3.0,108,1
