doh_id,insp_rpt,yelp_rating,yelp_reviews
2382,204750,3,27
2382,204750,3,27
2382,204750,3,27
2382,204750,3,27
2382,404865,3,27
2382,404865,3,27
2382,404865,3,27
2382,404865,3,27
2382,404865,3,27
2382,611342,3,27
2382,611342,3,27
2382,611342,3,27
2382,611342,3,27
2382,611342,3,27
2382,822973,3,27
2382,822973,3,27
2382,822973,3,27
2382,822973,3,27
2382,822973,3,27
2390,204229,4,281
2390,607350,4,281
2415,199551,4,274
2433,198502,3.5,76
2435,184084,3,34
2435,203769,3,34
2435,405701,3,34
2435,611646,3,34
2435,813571,3,34
2435,821952,3,34
2453,205189,3.5,181
2470,204316,3,28
2470,606281,3,28
2470,812851,3,28
2470,824246,3,28
2477,119160,3.5,145
2477,119160,3.5,145
2477,202432,3.5,145
2477,202432,3.5,145
2479,199895,4.5,4
2479,610390,4.5,4
2479,814039,4.5,4
2488,200769,3.5,931
2488,205471,3.5,931
2488,405906,3.5,931
2488,610982,3.5,931
2488,813306,3.5,931
2489,810298,3.5,26
2496,610300,4,233
2496,821006,4,233
2506,199883,3.5,121
2559,183241,4,190
2559,205726,4,190
2559,813670,4,190
2572,200343,2.5,11
2572,205056,2.5,11
2572,611325,2.5,11
2572,823301,2.5,11
2575,606756,3,182
2575,812499,3,182
2579,812972,4,184
2585,204040,3,28
2585,812234,3,28
2600,201487,3.5,136
2600,405613,3.5,136
2600,812515,3.5,136
2600,821863,3.5,136
2606,119272,3,47
2606,119344,3,47
2606,205722,3,47
2606,814037,3,47
2636,811199,4,44
2636,814089,4,44
2636,824220,4,44
2654,198888,3,17
2654,198888,3,17
2654,202613,3,17
2654,202613,3,17
2654,404910,3,17
2654,404910,3,17
2654,611961,3,17
2654,611961,3,17
2666,811358,3.5,150
2696,610142,3,60
2696,823704,3,60
2703,199454,3.5,333
2703,202231,3.5,333
2703,824267,3.5,333
2713,202634,3,75
2713,406027,3,75
2713,607560,3,75
2713,814171,3,75
2767,198146,4,6
2767,404856,4,6
2767,611802,4,6
2771,611756,4,100
2771,611756,4,100
