OBJECTID,LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMENTS,ADDRESS,ADDRID,X,Y,DESCRIPTIO,STATUS,TYPE
282,ABRA-091400,Cafe Berlin,"Gilstrid's Gastronomy, LLC",C,,322 MASSACHUSETTS AVENUE NE,152366,399919.03,136288.98,Restaurant,Active,Restaurant
283,ABRA-071007,Cafe Bonaparte,"Millennium Partners Group, LLC",C,,1522 WISCONSIN AVENUE NW,272597,394396.58,137950.78,Restaurant,Active,Restaurant
284,ABRA-060138,Cafe Citron,"Cafe Dupont, LLC",C,,1343 CONNECTICUT AVENUE NW,285509,396327.44,137842.56,Restaurant,Active,Restaurant
285,ABRA-094180,Cafe Deluxe,"Clover M Street, LLC",C,,2201 M STREET NW,243160,395744.3,137516.99,Hotel,Active,Hotel
286,ABRA-085876,Cafe Deluxe,"Clover Cleveland Park, LLC",C,,3226 WISCONSIN AVENUE NW,275783,393683.53,140578.18,Restaurant,Active,Restaurant
287,ABRA-060603,Cafe Divan,Cavit Ozturk,C,,1834 WISCONSIN AVENUE NW,279429,394119.81,138630.84,Restaurant,Active,Restaurant
288,ABRA-017247,Cafe Milano,Prospect Cafe Milano Inc.,C,,3251 PROSPECT STREET NW,272144,394466.2,137594.74,Restaurant,Active,Restaurant
289,ABRA-003664,Cafe Mozart,"Cafe Mozart, Inc.",C,,1331 H STREET NW,240648,397339.59,136963.38,Restaurant,Active,Restaurant
290,ABRA-083570,Cafe of India,"Narveer, Inc.",C,,4909 WISCONSIN AVENUE NW,264504,392911.13,142876.31,Restaurant,Active,Restaurant
291,ABRA-025526,Cafe Ole,"Cafe Ole, LLC",C,,4000 WISCONSIN AVENUE NW,222230,393333.56,141535.98,Restaurant,Active,Restaurant
292,ABRA-096593,Cafe Paradiso,"Hospitality Brothers Group, Inc.",C,,2649 CONNECTICUT AVENUE NW,219109,395491.59,139677.89,Restaurant,Active,Restaurant
293,ABRA-088282,Cafe Romeo's,"Nimellis Pizzeria, LLC",D,,2132 WISCONSIN AVENUE NW,284245,393900.06,138960.17,Restaurant,Active,Restaurant
294,ABRA-060456,Cafe Saint-Ex,Saint-Ex Group LLC,C,,1847 14TH STREET NW,240488,397247.93,138618.76,Tavern,Active,Tavern
295,ABRA-024748,Cafe Soleil,V A  Assoc. I Limited Partnership,C,,839 17TH STREET NW,218777,396596.19,137025.43,Restaurant,Active,Restaurant
296,ABRA-088262,Cafe Sorriso,"Pirosi, LLC",C,,2311 CALVERT STREET NW,236661,395576.79,139546.39,Restaurant,Active,Restaurant
297,ABRA-000343,Cairo Liquor Store,"W & R, Inc.",A,,1618 17TH STREET NW,241657,396630.11,138213.22,Retail - Liquor Store,Active,Retail - Liquor Store
298,ABRA-005018,California Liquors,Cyril W Smith and Warren J Smith,A,,2100 18TH STREET NW,235523,396364.98,138898.71,Retail - Liquor Store,Active,Retail - Liquor Store
299,ABRA-091405,California Tortilla,SAF  CORPORATION,D,,728 7TH STREET NW,243180,398076.71,136836.73,Restaurant,Active,Restaurant
300,ABRA-003730,Calvert Woodley Wine & Liquor,"Woodley Wine & Liquor, Inc.",A,,4339 CONNECTICUT AVENUE NW,220627,394468.76,141924.15,Retail - Liquor Store,Active,Retail - Liquor Store
301,ABRA-094523,Cambria Suites Washington City Market,Citymarket Hotel Development LLC,C,,899 O STREET NW,310640,397942.87,137876.5,Hotel,Active,Hotel
302,ABRA-001449,Camelot,"R A H OF WASHINGTON, D.C",C,,1823 M STREET NW,241271,396295.3,137560.75,Nightclub,Active,Nightclub
303,ABRA-094362,Campono,Numana LLC,D,,600 NEW HAMPSHIRE AVENUE NW,279838,395223.31,136662.88,Restaurant,Active,Restaurant
304,ABRA-060628,Cantina Marina,"Cleveland Q, LLC",C,,600 WATER STREET SW,276680,398119.18,134229.64,Restaurant,Active,Restaurant
305,ABRA-024522,Cap Liquors,"R S Liquors, Inc",A,,1301 SOUTH CAPITOL STREET SW,68830,399186.18,134072.97,Retail - Liquor Store,Active,Retail - Liquor Store
306,ABRA-089311,Capella Georgetown Hotel,"Castleton Hotel Partners I, LLC",C,,1050 31ST STREET NW,273780,394669.37,137349.83,Hotel,Active,Hotel
